,key ,Inputs from Database,Calculated Final Values,Calculated Intermediate Values,,,,,,Range Given:,,,Chart/Scatter Plot --- normalized values on x axis,y axis values,,                       Normalized Data Best-fit Line Parameters:,Slope Beta ,Y-Intercept Alpha,                                                                                    Transaction Fees:,30%,"Note: if ""optimal rent"" is less than this value, use this value",,,,,"Use MS ""If"" statement ",,,0.77146,
,,,,Long Term (LT) ,0.973,=(Monthly Rent*12)*(LT Occupancy Rate)),Short Term (ST),,,0.8,,,[(Range*(Example Rent  $ minus $ 10th)) / ($ 90th minus $ 10th)] + .1,Repeat earlier column for convenience ,,,-0.7914,0.8506,=365*(variable cell dollars per night)*(Model forecast occupancy rate) ,= (Revenues Before Transaction fees)*(1 minus transaction  fees) ,Repeat for Convenience,Interim Result 1,Interim Result 2,Interim Result 3,=[(Beta*Interim result 2)/(Interim result 1)) - Alpha] * [Interim result 3],"If(Optimal $ Rent > 10th Percentile $ Rent, Optimal rent, else 10th percentile Rent) ",' ((Correct $ rent) minus (Interim Result 2)) /  (Interim Result 1) ,=((Beta)*(Rent Normalized to Percentile) + Alpha) ,=(correct $ Rent)*(Forecast Occupancy Rate) ,=(Forecast ST Revenues)*(1 minus transaction  fees) 
Watershed property ID ,location ID ,property type (Apartment or House) ,Number of Bedrooms (1 or 2) ,LT - Monthly Rent,LT occupancy rate,LT Annual Revenues,ST Example $ Rent ,ST Example Occupancy Rate,ST -  $ 10th percentile rent,ST - $ 90th percentile rent,$ 90th minus $ 10th ,Example $ Rent minus $ 10th ,ST Example Nightly Rent Normalized to Percentile,ST Example Occupancy Rate," SOLVER  ""Variable Cell"" - Rent in Dollars per Night (ST) ","Correct $ Rent, given constraint that rent must be >= 10th percentile",Dollars Normalized to Percentile ,Model forecast occupancy = (Beta*( Dollars Normalized to Percentile)) + Alpha ,"SOLVER ""Objective""-  Forecast ST Annual Revenues Before Transaction Fees",Forecast ST Annual Revenues After Transaction Fees,10th Percentile $ Rent ,1.25*($ 90th - $ 10th),$ 10th - (($ 90th - $ 10th)/8)) ,1.25*($ 90th - $ 10th)/(2*beta),Optimal Rent,"Correct $ Rent, given constraint that rent must be >= 10th percentile",Correct Rent Normalized to Percentile,Correct Forecast Occupancy Rate ,Forecast ST Revenues Before Transaction Fees,Forecast ST Revenues After Transaction Fees
W1,L9531,apartment,2,1060,0.973,12376.56,148,0.1616,114,153,39,34,0.7974358974,0.1616,100,,,,,,114,48.75,109.125,-19.290375,50.58164842,114,0.1,0.77146,87.94644,61.562508
W10,L9533,apartment,2,1200,0.973,14011.2,133,0.3479,111,149,38,22,0.5631578947,0.3479,100,,,,,,111,47.5,106.25,-18.79575,49.26059408,111,0.1,0.77146,85.63206,59.942442
W100,L1944,apartment,1,3300,0.973,38530.8,372,0.3973,108,610,502,264,0.5207171315,0.3973,100,,,,,,108,627.5,45.25,-248.30175,225.3758219,225.3758219,0.2870531026,0.6234261746,140.5051865,98.35363054
W101,L15257,apartment,1,1400,0.973,16346.4,302,0.3644,178,533,355,124,0.3794366197,0.3644,100,,,,,,178,443.75,133.625,-175.591875,191.2040503,191.2040503,0.1297556064,0.7479114131,143.0036915,100.102584
W102,L15257,apartment,2,2000,0.973,23352,429,0.411,221,617,396,208,0.5202020202,0.411,100,,,,,,221,495,171.5,-195.8715,220.31472,221,0.1,0.77146,170.49266,119.344862
W103,L15257,house,1,1600,0.973,18681.6,380,0.411,202,646,444,178,0.4207207207,0.411,100,,,,,,202,555,146.5,-219.6135,232.6807407,232.6807407,0.1552806138,0.7277109222,169.3243164,118.5270215
W104,L15257,house,2,2800,0.973,32692.8,374,0.526,197,639,442,177,0.420361991,0.526,100,,,,,,197,552.5,141.75,-218.62425,230.351789,230.351789,0.1603652289,0.7236869579,166.7025854,116.6918098
W105,L15260,apartment,1,1100,0.973,12843.6,386,0.4329,114,477,363,272,0.6994490358,0.4329,100,,,,,,114,453.75,68.625,-179.548875,174.2146708,174.2146708,0.2327045087,0.6664376518,116.1032161,81.2722513
W106,L15260,apartment,2,1900,0.973,22184.4,212,0.6959,80,583,503,132,0.3099403579,0.6959,100,,,,,,80,628.75,17.125,-248.796375,216.9890099,216.9890099,0.3178751648,0.5990335946,129.9837066,90.98859459
W107,L15260,house,1,1800,0.973,21016.8,969,0.1096,239,1431,1192,730,0.5899328859,0.1096,100,,,,,,239,1490,90,-589.593,529.691934,529.691934,0.2950952577,0.617061613,326.8525592,228.7967914
W108,L15260,house,2,3200,0.973,37363.2,885,0.2247,236,1533,1297,649,0.500308404,0.2247,100,,,,,,236,1621.25,73.875,-641.528625,568.8187203,568.8187203,0.3052852554,0.6089972489,346.4090358,242.486325
W109,L15264,apartment,1,1000,0.973,11676,287,0.2192,138,550,412,149,0.3893203883,0.2192,100,,,,,,138,515,86.5,-203.7855,200.4280251,200.4280251,0.2212194662,0.6755269145,135.3945254,94.77616775
W11,L9533,house,1,1000,0.973,11676,206,0.3918,116,296,180,90,0.5,0.3918,100,,,,,,116,225,93.5,-89.0325,105.0112221,116,0.1,0.77146,89.48936,62.642552
